Force(N),Distance(mm),Time(ms)
4.285746,104,56346
4.298116,105,56438
4.283989,103,56531
4.24683,107,56624
4.190212,105,56716
4.148484,104,56809
4.135532,101,56902
4.148183,104,56994
4.175292,102,57087
4.196417,103,57198
4.211829,105,57272
4.226488,101,57365
4.227683,103,57457
4.236247,105,57550
4.261529,106,57643
4.309311,103,57735
4.351942,104,57828
4.362163,102,57921
4.353026,101,58013
4.335145,103,58106
4.292152,102,58224
4.234128,104,58291
4.189509,103,58384
4.168766,101,58476
4.150382,102,58569
4.110793,101,58666
4.084467,101,58754
4.076344,103,58847
4.065852,105,58940
4.047277,103,59032
4.046555,102,59125
4.077349,104,59236
4.113765,100,59310
4.142601,103,59403
4.155161,105,59501
4.142972,103,59588
4.128755,105,59681
4.121325,105,59773
4.115221,104,59866
4.107841,102,59959
4.097339,106,60051
4.095401,102,60144
4.103935,104,60255
4.12007,101,60336
4.142229,101,60422
4.164117,103,60514
4.169499,102,60607
4.176878,105,60700
4.179519,103,60792
4.175182,100,60885
4.180001,104,60978
4.18715,99,61073
4.203706,105,61163
4.223004,102,61274
4.235052,102,61348
4.253577,103,61441
4.27674,102,61533
4.303959,104,61626
4.319973,102,61719
4.333679,105,61811
4.364161,104,61908
4.385698,101,61996
4.410387,102,62089
4.432978,102,62182
4.45334,102,62288
4.483642,100,62367
4.502789,103,62460
4.509144,102,62552
4.503993,100,62645
4.480117,101,62738
4.469234,101,62830
4.496764,102,62923
4.54544,99,63015
4.585029,101,63108
4.590882,102,63201
4.580139,103,63312
4.563191,103,63386
4.545761,100,63478
4.545189,105,63578
4.554918,104,63664
4.542608,99,63756
4.503069,106,63849
4.458008,98,63942
4.422024,103,64034
4.399503,101,64127
4.383047,103,64219
4.375728,103,64326
4.376511,104,64409
4.371109,105,64497
4.338217,102,64590
4.317363,100,64682
4.322775,99,64775
4.332173,103,64868
4.361279,104,64960
4.40609,102,65053
4.468089,100,65146
4.546956,101,65238
4.619277,101,65345
4.667099,100,65423
4.680914,97,65516
4.661958,102,65609
4.638433,104,65701
4.61768,102,65794
4.606736,99,65886
4.626867,103,65979
4.641566,98,66072
4.616606,101,66164
4.60039,100,66257
4.589939,99,66368
4.572438,99,66442
4.556293,99,66535
4.555079,101,66628
4.563552,101,66720
4.553261,99,66813
4.528833,101,66905
4.500831,101,66998
4.462968,97,67091
4.429012,101,67183
4.375105,99,67276
4.315215,97,67400
4.270856,98,67461
4.241358,97,67554
4.214731,100,67646
4.182853,99,67739
4.170854,101,67832
4.176286,101,67924
4.185393,102,68017
4.198807,98,68109
4.203666,101,68202
4.193295,101,68295
4.188787,102,68406
4.1773,100,68486
4.162521,98,68573
4.157932,98,68665
4.161778,100,68758
4.149569,99,68850
4.119327,98,68943
4.109739,101,69036
4.120241,101,69128
4.126637,100,69221
4.141567,98,69313
4.155864,98,69424
4.148454,100,69499
4.138002,98,69591
4.122591,100,69684
4.091033,103,69777
4.061535,96,69869
4.034105,100,69962
4.033994,98,70054
4.038784,100,70147
4.048121,101,70240
4.073102,98,70332
4.107209,100,70443
4.150753,98,70517
4.189278,102,70610
4.216799,98,70703
4.23951,99,70795
4.248055,96,70893
4.257633,101,70981
4.269421,100,71073
4.272674,100,71166
4.249169,99,71259
4.210122,97,71351
4.172792,95,71462
4.144649,99,71536
4.125783,98,71629
4.131787,99,71728
4.160583,97,71814
4.187009,99,71907
4.195413,97,72000
4.202291,99,72092
4.221749,99,72185
4.242281,96,72277
4.268366,97,72370
4.309983,98,72481
4.354794,100,72562
4.401732,97,72648
4.443982,97,72741
4.465006,96,72833
4.474866,96,72926
4.485208,99,73019
4.498782,99,73111
4.502628,94,73204
4.479927,95,73296
4.467999,99,73389
4.45599,100,73502
4.446372,98,73574
4.460689,96,73667
4.476694,100,73760
4.49319,98,73852
4.524506,99,73945
4.557328,96,74038
4.569788,99,74130
4.536755,96,74223
4.486493,100,74315
4.440619,94,74408
4.417546,99,74519
4.433801,98,74593
4.462728,101,74686
4.482748,100,74779
4.497146,95,74871
4.49329,96,74965
4.467095,96,75057
4.428128,100,75149
4.376862,101,75242
4.326389,97,75335
4.278155,98,75427
4.235333,97,75538
4.211799,97,75612
4.231468,97,75705
4.284792,97,75800
